X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-8833201.59444626,5414515.13850661,Aurora District,2020,Walleye,Don River,,,17-6331-48341,YORK,Fingerlings,991,43.67,-79.35,40
-8897766.89910636,5436086.17097514,Aurora District,2021,Brook Trout,,,Ken Whillans Pond (Unofficial Name),17-5855-48513,CALEDON,Yearlings,1001,43.81,-79.93,41
-8698505.0105864,5703759.72761358,Bancroft District,2015,Brook Trout,,,Sunbeam Lake (Unofficial Name),17-7227-50449,AIRY,Yearlings,1450,45.52,-78.14,42
-8858805.07732871,5394529.90283298,Aurora District,2021,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,2000,43.54,-79.58,43
-8858805.07732871,5394529.90283298,Aurora District,2021,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,500,43.54,-79.58,44
-8882182.1703953,5425294.3498267,Aurora District,2021,Brook Trout,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Yearlings,500,43.74,-79.79,45
-8846559.93334145,5408361.23322365,Aurora District,2021,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,200,43.63,-79.47,46
-8846559.93334145,5408361.23322365,Aurora District,2021,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,499,43.63,-79.47,47
-8846559.93334145,5408361.23322365,Aurora District,2021,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,531,43.63,-79.47,48
-8846559.93334145,5408361.23322365,Aurora District,2021,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,502,43.63,-79.47,49
-8846559.93334145,5408361.23322365,Aurora District,2021,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,3500,43.63,-79.47,50
-8846559.93334145,5408361.23322365,Aurora District,2021,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,3500,43.63,-79.47,51
-8815390.47591933,5505766.33872166,Aurora District,2021,Brook Trout,Uxbridge Brook,ruisseau Uxbridge,,17-6437-49029,GEORGINA,Yearlings,512,44.26,-79.19,52
-8875503.0009477,5425294.3498267,Aurora District,2021,Rainbow Trout,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Yearlings,338,43.74,-79.73,53
